ensembl,gene_symbol,cancer_group,status,cohort,specimen_descriptor,sample_count,efo_code,mondo_code,ncit_code,version
ENSG00000101544,ADNP2,Diffuse midline glioma,gain,All Cohorts,Primary Tumor,1,EFO_1000026,MONDO_0006033,NCIT_C129309,NA
ENSG00000101544,ADNP2,Diffuse midline glioma,gain,PBTA,Primary Tumor,1,EFO_1000026,MONDO_0006033,NCIT_C129309,NA
ENSG00000101544,ADNP2,Diffuse midline glioma,loss,All Cohorts,Primary Tumor,3,EFO_1000026,MONDO_0006033,NCIT_C129309,NA
ENSG00000101544,ADNP2,Diffuse midline glioma,loss,PBTA,Primary Tumor,3,EFO_1000026,MONDO_0006033,NCIT_C129309,NA
ENSG00000101544,ADNP2,Ependymoma,loss,All Cohorts,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,NA
ENSG00000101544,ADNP2,Ependymoma,loss,PBTA,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,amplification,All Cohorts,Primary Tumor,1,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,amplification,TARGET,Primary Tumor,1,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,gain,All Cohorts,Primary Tumor,2,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,gain,TARGET,Primary Tumor,2,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,loss,All Cohorts,Primary Tumor,12,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,loss,TARGET,Primary Tumor,13,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,neutral,All Cohorts,Primary Tumor,17,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,Ganglioneuroblastoma,neutral,TARGET,Primary Tumor,18,EFO_0000502,MONDO_0005035,NCIT_C3790,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,gain,All Cohorts,Primary Tumor,4,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,gain,PBTA,Primary Tumor,4,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,loss,All Cohorts,Primary Tumor,20,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,loss,All Cohorts,Relapse Tumor,2,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,loss,PBTA,Primary Tumor,20,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,loss,PBTA,Relapse Tumor,2,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,neutral,All Cohorts,Primary Tumor,26,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,High-grade glioma/astrocytoma,neutral,PBTA,Primary Tumor,26,MONDO_0016680,MONDO_0016680,NCIT_C102897,NA
ENSG00000101544,ADNP2,Medulloblastoma,gain,All Cohorts,Primary Tumor,3,EFO_0002939,MONDO_0007959,NCIT_C3222,NA
ENSG00000101544,ADNP2,Medulloblastoma,gain,PBTA,Primary Tumor,3,EFO_0002939,MONDO_0007959,NCIT_C3222,NA
ENSG00000101544,ADNP2,Medulloblastoma,loss,All Cohorts,Primary Tumor,1,EFO_0002939,MONDO_0007959,NCIT_C3222,NA
ENSG00000101544,ADNP2,Medulloblastoma,loss,PBTA,Primary Tumor,1,EFO_0002939,MONDO_0007959,NCIT_C3222,NA
ENSG00000101544,ADNP2,Meningioma,loss,All Cohorts,Relapse Tumor,1,Orphanet_2495,MONDO_0016642,NCIT_C3230,NA
ENSG00000101544,ADNP2,Meningioma,loss,PBTA,Relapse Tumor,1,Orphanet_2495,MONDO_0016642,NCIT_C3230,NA
ENSG00000101544,ADNP2,Neuroblastoma,deep deletion,All Cohorts,Primary Tumor,1,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,deep deletion,TARGET,Primary Tumor,1,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,gain,All Cohorts,Primary Tumor,29,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,gain,GMKF,Primary Tumor,3,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,gain,TARGET,Primary Tumor,26,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,loss,All Cohorts,Primary Tumor,68,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,loss,GMKF,Primary Tumor,3,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,loss,TARGET,Primary Tumor,67,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,neutral,All Cohorts,Primary Tumor,86,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Neuroblastoma,neutral,TARGET,Primary Tumor,92,EFO_0000621,MONDO_0005072,NCIT_C3270,NA
ENSG00000101544,ADNP2,Osteosarcoma,deep deletion,All Cohorts,Primary Tumor,3,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Osteosarcoma,deep deletion,TARGET,Primary Tumor,3,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Osteosarcoma,gain,All Cohorts,Primary Tumor,6,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Osteosarcoma,gain,TARGET,Primary Tumor,6,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Osteosarcoma,loss,All Cohorts,Primary Tumor,37,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Osteosarcoma,loss,TARGET,Primary Tumor,37,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Osteosarcoma,neutral,All Cohorts,Primary Tumor,27,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Osteosarcoma,neutral,TARGET,Primary Tumor,27,EFO_0000637,MONDO_0009807,NCIT_C9145,NA
ENSG00000101544,ADNP2,Wilms tumor,gain,All Cohorts,Primary Tumor,3,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,gain,TARGET,Primary Tumor,3,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,loss,All Cohorts,Primary Tumor,14,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,loss,All Cohorts,Relapse Tumor,3,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,loss,TARGET,Primary Tumor,14,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,loss,TARGET,Relapse Tumor,3,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,neutral,All Cohorts,Primary Tumor,19,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,neutral,All Cohorts,Relapse Tumor,2,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,neutral,TARGET,Primary Tumor,19,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,Wilms tumor,neutral,TARGET,Relapse Tumor,2,MONDO_0006058,MONDO_0006058,NCIT_C3267,NA
ENSG00000101544,ADNP2,NA,gain,All Cohorts,Primary Tumor,1,NA,NA,NA,NA
ENSG00000101544,ADNP2,NA,gain,PBTA,Primary Tumor,1,NA,NA,NA,NA
ENSG00000101544,ADNP2,NA,loss,All Cohorts,Primary Tumor,1,NA,NA,NA,NA
ENSG00000101544,ADNP2,NA,loss,PBTA,Primary Tumor,1,NA,NA,NA,NA
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,amplification,All Cohorts,Primary Tumor,1,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,amplification,TARGET,Primary Tumor,1,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,loss,All Cohorts,Primary Tumor,225,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,loss,All Cohorts,Relapse Tumor,4,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,loss,TARGET,Primary Tumor,225,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,loss,TARGET,Relapse Tumor,4,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,neutral,All Cohorts,Primary Tumor,486,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,neutral,All Cohorts,Relapse Tumor,13,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,neutral,TARGET,Primary Tumor,486,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Lymphoblastic Leukemia,neutral,TARGET,Relapse Tumor,13,EFO_0000220,MONDO_0004967,NCIT_C3167,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,loss,All Cohorts,Primary Tumor,7,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,loss,All Cohorts,Relapse Tumor,5,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,loss,TARGET,Primary Tumor,7,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,loss,TARGET,Relapse Tumor,5,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,neutral,All Cohorts,Primary Tumor,9,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,neutral,All Cohorts,Relapse Tumor,10,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,neutral,TARGET,Primary Tumor,9,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Acute Myeloid Leukemia,neutral,TARGET,Relapse Tumor,10,EFO_0000222,MONDO_0018874,NCIT_C3171,PMTL version 1.1
ENSG00000134323,MYCN,Diffuse intrinsic pontine glioma,gain,All Cohorts,Primary Tumor,1,EFO_1000026,MONDO_0006033,NCIT_C94764,PMTL version 1.1
ENSG00000134323,MYCN,Diffuse intrinsic pontine glioma,gain,PBTA,Primary Tumor,1,EFO_1000026,MONDO_0006033,NCIT_C94764,PMTL version 1.1
ENSG00000134323,MYCN,Diffuse midline glioma,gain,All Cohorts,Primary Tumor,3,EFO_1000026,MONDO_0006033,NCIT_C129309,PMTL version 1.1
ENSG00000134323,MYCN,Diffuse midline glioma,gain,PBTA,Primary Tumor,3,EFO_1000026,MONDO_0006033,NCIT_C129309,PMTL version 1.1
ENSG00000134323,MYCN,Diffuse midline glioma,loss,All Cohorts,Primary Tumor,1,EFO_1000026,MONDO_0006033,NCIT_C129309,PMTL version 1.1
ENSG00000134323,MYCN,Diffuse midline glioma,loss,PBTA,Primary Tumor,1,EFO_1000026,MONDO_0006033,NCIT_C129309,PMTL version 1.1
ENSG00000134323,MYCN,Embryonal tumor with multilayer rosettes,gain,All Cohorts,Primary Tumor,1,MONDO_0016715,MONDO_0016715,NCIT_C129499,PMTL version 1.1
ENSG00000134323,MYCN,Embryonal tumor with multilayer rosettes,gain,All Cohorts,Relapse Tumor,1,MONDO_0016715,MONDO_0016715,NCIT_C129499,PMTL version 1.1
ENSG00000134323,MYCN,Embryonal tumor with multilayer rosettes,gain,PBTA,Primary Tumor,1,MONDO_0016715,MONDO_0016715,NCIT_C129499,PMTL version 1.1
ENSG00000134323,MYCN,Embryonal tumor with multilayer rosettes,gain,PBTA,Relapse Tumor,1,MONDO_0016715,MONDO_0016715,NCIT_C129499,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,amplification,All Cohorts,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,amplification,All Cohorts,Relapse Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,amplification,PBTA,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,amplification,PBTA,Relapse Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,deep deletion,All Cohorts,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,deep deletion,PBTA,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,gain,All Cohorts,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ependymoma,gain,PBTA,Primary Tumor,1,EFO_1000028,MONDO_0016698,NCIT_C3017,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,amplification,All Cohorts,Primary Tumor,4,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,amplification,GMKF,Primary Tumor,2,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,amplification,TARGET,Primary Tumor,3,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,gain,All Cohorts,Primary Tumor,6,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,gain,GMKF,Primary Tumor,3,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,gain,TARGET,Primary Tumor,3,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,loss,All Cohorts,Primary Tumor,14,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,loss,TARGET,Primary Tumor,15,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,neutral,All Cohorts,Primary Tumor,13,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,Ganglioneuroblastoma,neutral,TARGET,Primary Tumor,13,EFO_0000502,MONDO_0005035,NCIT_C3790,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,amplification,All Cohorts,Primary Tumor,4,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,amplification,PBTA,Primary Tumor,4,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,gain,All Cohorts,Primary Tumor,8,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,gain,All Cohorts,Relapse Tumor,1,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,gain,PBTA,Primary Tumor,8,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,gain,PBTA,Relapse Tumor,1,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,loss,All Cohorts,Primary Tumor,14,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,loss,All Cohorts,Relapse Tumor,1,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,loss,PBTA,Primary Tumor,14,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,loss,PBTA,Relapse Tumor,1,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,neutral,All Cohorts,Primary Tumor,30,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,High-grade glioma/astrocytoma,neutral,PBTA,Primary Tumor,30,MONDO_0016680,MONDO_0016680,NCIT_C102897,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,amplification,All Cohorts,Primary Tumor,3,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,amplification,All Cohorts,Relapse Tumor,1,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,amplification,PBTA,Primary Tumor,3,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,amplification,PBTA,Relapse Tumor,1,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,gain,All Cohorts,Primary Tumor,12,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,gain,All Cohorts,Relapse Tumor,1,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,gain,PBTA,Primary Tumor,12,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Medulloblastoma,gain,PBTA,Relapse Tumor,1,EFO_0002939,MONDO_0007959,NCIT_C3222,PMTL version 1.1
ENSG00000134323,MYCN,Metastatic secondary tumors,gain,All Cohorts,Primary Tumor,2,EFO_0009812,MONDO_0024883,NCIT_C4968,PMTL version 1.1
ENSG00000134323,MYCN,Metastatic secondary tumors,gain,PBTA,Primary Tumor,2,EFO_0009812,MONDO_0024883,NCIT_C4968,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,amplification,All Cohorts,Primary Tumor,77,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,amplification,GMKF,Primary Tumor,22,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,amplification,PBTA,Primary Tumor,1,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,amplification,TARGET,Primary Tumor,57,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,gain,All Cohorts,Primary Tumor,71,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,gain,All Cohorts,Relapse Tumor,1,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,gain,GMKF,Primary Tumor,48,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,gain,PBTA,Relapse Tumor,1,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,gain,TARGET,Primary Tumor,26,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,loss,All Cohorts,Primary Tumor,44,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,loss,TARGET,Primary Tumor,44,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,neutral,All Cohorts,Primary Tumor,57,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Neuroblastoma,neutral,TARGET,Primary Tumor,59,EFO_0000621,MONDO_0005072,NCIT_C3270,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,amplification,All Cohorts,Primary Tumor,1,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,amplification,TARGET,Primary Tumor,1,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,deep deletion,All Cohorts,Primary Tumor,2,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,deep deletion,TARGET,Primary Tumor,2,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,gain,All Cohorts,Primary Tumor,14,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,gain,TARGET,Primary Tumor,14,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,loss,All Cohorts,Primary Tumor,29,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,loss,TARGET,Primary Tumor,29,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,neutral,All Cohorts,Primary Tumor,27,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Osteosarcoma,neutral,TARGET,Primary Tumor,27,EFO_0000637,MONDO_0009807,NCIT_C9145,PMTL version 1.1
ENSG00000134323,MYCN,Pineoblastoma,gain,All Cohorts,Primary Tumor,1,EFO_1000475,MONDO_0016722,NCIT_C9344,PMTL version 1.1
ENSG00000134323,MYCN,Pineoblastoma,gain,PBTA,Primary Tumor,1,EFO_1000475,MONDO_0016722,NCIT_C9344,PMTL version 1.1
